,term,score_date,score_value
14986,a flu,2018-09-05,130.34758668377907
14987,a flu,2018-09-06,211.0901519448873
14988,a flu,2018-09-07,185.39107683839148
15340,a flu,2018-09-08,150.13189934583377
15341,a flu,2018-09-09,231.2898431531377
15342,a flu,2018-09-10,209.94379505998123
15343,a flu,2018-09-11,167.59092994280405
15344,a flu,2018-09-12,267.54786698855
15345,a flu,2018-09-13,293.297323037656
15346,a flu,2018-09-14,184.38501387398543
15347,a flu,2018-09-15,163.9394669768026
15348,a flu,2018-09-16,219.18477945636937
16402,a flu,2018-09-17,327.5327010094352
16403,a flu,2018-09-18,302.8542010178603
16404,a flu,2018-09-19,361.7405991514698
16405,a flu,2018-09-20,293.9745275066605
16406,a flu,2018-09-21,314.66589601298006
16407,a flu,2018-09-22,361.6650962406422
16408,a flu,2018-09-23,242.6403337209384
17228,a flu,2018-01-01,418.441471610384
17229,a flu,2018-01-02,657.4161485902797
17230,a flu,2018-01-03,755.5007480034775
17231,a flu,2018-01-04,683.519218107749
17232,a flu,2018-01-05,744.132793954413
17233,a flu,2018-01-06,734.5699296856794
17234,a flu,2018-01-07,680.9300862314263
17235,a flu,2018-01-08,916.4553983712308
17236,a flu,2018-01-09,843.8075371611645
17237,a flu,2018-01-10,705.2587804349415
17238,a flu,2018-01-11,922.5739469010584
17239,a flu,2018-01-12,1031.4116330386223
17240,a flu,2018-01-13,657.9020836528861
17241,a flu,2018-01-14,765.9980320039186
17242,a flu,2018-01-15,620.3095614139417
17243,a flu,2018-01-16,685.8002910969269
17244,a flu,2018-01-17,528.6265845734823
17245,a flu,2018-01-18,649.7030398993553
17246,a flu,2018-01-19,615.5937277988172
17247,a flu,2018-01-20,609.9535165029828
17248,a flu,2018-01-21,531.2378245849551
17249,a flu,2018-01-22,496.7754596989038
17250,a flu,2018-01-23,634.0965174333293
17251,a flu,2018-01-24,546.115464406083
17252,a flu,2018-01-25,425.9742578996065
17253,a flu,2018-01-26,533.5810961585635
17254,a flu,2018-01-27,419.735548972056
17255,a flu,2018-01-28,410.05748878725217
17256,a flu,2018-01-29,498.0629776512535
17257,a flu,2018-01-30,377.0066954701777
17258,a flu,2018-01-31,340.389255208043
17259,a flu,2018-02-01,486.10144921661725
17260,a flu,2018-02-02,302.86442158101937
17261,a flu,2018-02-03,281.92828046057696
17262,a flu,2018-02-04,313.54432055239465
17263,a flu,2018-02-05,422.0672283204151
17264,a flu,2018-02-06,288.2413255552452
17265,a flu,2018-02-07,366.78569954464194
17266,a flu,2018-02-08,359.9002707238567
17267,a flu,2018-02-09,246.44939879797644
17268,a flu,2018-02-10,314.3547651004475
17269,a flu,2018-02-11,299.2115052168757
17270,a flu,2018-02-12,337.36891089192346
17271,a flu,2018-02-13,476.542025887314
17272,a flu,2018-02-14,341.1658275798446
17273,a flu,2018-02-15,302.23371085155264
17274,a flu,2018-02-16,233.0620961279297
17275,a flu,2018-02-17,244.9362803854383
17276,a flu,2018-02-18,346.93133462332423
17277,a flu,2018-02-19,322.65558917834306
17278,a flu,2018-02-20,271.0739850765593
17279,a flu,2018-02-21,289.80801627047407
17280,a flu,2018-02-22,329.1691316024263
17281,a flu,2018-02-23,287.40307384369726
17282,a flu,2018-02-24,191.97772848658005
17283,a flu,2018-02-25,228.55065136188983
17284,a flu,2018-02-26,320.76859802121595
17285,a flu,2018-02-27,201.3099293467103
17286,a flu,2018-02-28,293.65488756001923
17287,a flu,2018-03-01,222.48804465786583
17288,a flu,2018-03-02,187.3411355220482
17289,a flu,2018-03-03,219.6760656967005
17290,a flu,2018-03-04,239.80078016128945
17291,a flu,2018-03-05,257.76419932219545
17292,a flu,2018-03-06,252.97530045001304
17293,a flu,2018-03-07,205.07367360391729
17294,a flu,2018-03-08,292.12469000383084
18836,a flu,2018-03-09,148.22093852948683
18837,a flu,2018-03-10,120.28864186632129
18838,a flu,2018-03-11,205.1557864507404
18839,a flu,2018-03-12,289.2787409552946
18840,a flu,2018-03-13,217.83742622006085
18841,a flu,2018-03-14,222.93648642381092
18842,a flu,2018-03-15,245.5045764957771
18843,a flu,2018-03-16,204.04183323435208
18844,a flu,2018-03-17,158.6459668388813
18845,a flu,2018-03-18,224.8482215983097
18846,a flu,2018-03-19,160.33708544114674
18847,a flu,2018-03-20,221.2554389118544
18848,a flu,2018-03-21,245.91230532789012
18849,a flu,2018-03-22,152.86184815331103
18850,a flu,2018-03-23,181.36938336048087
18851,a flu,2018-03-24,201.66417748091808
18852,a flu,2018-03-25,176.20240576636945
18853,a flu,2018-03-26,260.7188851020832
18854,a flu,2018-03-27,212.43619500499327
18855,a flu,2018-03-28,121.38176540629642
18856,a flu,2018-03-29,157.89665346236194
18857,a flu,2018-03-30,180.44005581827128
18858,a flu,2018-03-31,182.47334714988645
18859,a flu,2018-04-01,89.45891366244119
18860,a flu,2018-04-02,147.0132989503081
18861,a flu,2018-04-03,203.7044012822549
18862,a flu,2018-04-04,177.48857222266574
18863,a flu,2018-04-05,183.1530511809976
18864,a flu,2018-04-06,176.66016903853682
18865,a flu,2018-04-07,104.57556843499025
18866,a flu,2018-04-08,119.8656074146974
18867,a flu,2018-04-09,217.05550777458157
18868,a flu,2018-04-10,122.81987734691616
18869,a flu,2018-04-11,210.4890251514101
18870,a flu,2018-04-12,204.79987713842016
18871,a flu,2018-04-13,103.97827475542762
18872,a flu,2018-04-14,177.98090588323458
18873,a flu,2018-04-15,169.95730852978474
18874,a flu,2018-04-16,109.44177646683475
18875,a flu,2018-04-17,132.4783963326117
18876,a flu,2018-04-18,131.4213956170628
18877,a flu,2018-04-19,86.34366146385563
18878,a flu,2018-04-20,102.59729217045668
18879,a flu,2018-04-21,72.50015892310876
18880,a flu,2018-04-22,128.42406397638
18881,a flu,2018-04-23,104.49954819708988
18882,a flu,2018-04-24,103.91724422532614
18883,a flu,2018-04-25,106.76534130831912
18884,a flu,2018-04-26,70.59726628382128
18885,a flu,2018-04-27,86.4496011548858
18886,a flu,2018-04-28,93.62599301341966
18887,a flu,2018-04-29,66.82745004994032
18888,a flu,2018-04-30,97.30199352482674
31388,a flu,2018-09-24,458.3123991859191
31506,a flu,2018-09-25,407.0170062594791
31507,a flu,2018-09-26,406.7945451584592
31508,a flu,2018-09-27,469.9458956512355
31509,a flu,2018-09-28,344.672890180316
31510,a flu,2018-09-29,484.16614240110897
31511,a flu,2018-09-30,358.83317631236696
31512,a flu,2018-10-01,499.4276589849524
31513,a flu,2018-10-02,567.3594249936953
31514,a flu,2018-10-03,484.2678952099515
31515,a flu,2018-10-04,556.9003674575098
31516,a flu,2018-10-05,493.99763580274185
31517,a flu,2018-10-06,440.7320334311422
31518,a flu,2018-10-07,433.5471990872609
31519,a flu,2018-10-08,633.3573468342943
31520,a flu,2018-10-09,734.6443539626823
31521,a flu,2018-10-10,663.3664028026498
33394,a flu,2018-10-11,650.6406238536752
33395,a flu,2018-10-12,515.3438109392761
33396,a flu,2018-10-13,513.6012699914573
33748,a flu,2018-10-14,456.5212070980532
